"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TATASTEEL","EQ","28-Apr-2016","        356.75","        357.00","        362.00","        346.15","        347.65","        347.60","        353.63","   10079174","      35643.19","      98888"
"TATASTEEL","EQ","29-Apr-2016","        347.60","        347.70","        353.90","        342.70","        352.45","        351.10","        349.15","    7804551","      27249.98","      68160"
"TATASTEEL","EQ","02-May-2016","        351.10","        349.00","        351.00","        344.40","        346.80","        346.95","        347.99","    4181306","      14550.43","      39612"
"TATASTEEL","EQ","03-May-2016","        346.95","        348.75","        355.65","        347.00","        348.80","        348.90","        351.17","    6374681","      22386.17","      63085"
"TATASTEEL","EQ","04-May-2016","        348.90","        346.00","        347.25","        327.40","        329.50","        328.75","        334.67","    7957557","      26631.71","      80316"
"TATASTEEL","EQ","05-May-2016","        328.75","        329.00","        334.80","        324.15","        333.00","        331.80","        329.31","    8335949","      27451.52","      78429"
"TATASTEEL","EQ","06-May-2016","        331.80","        330.00","        331.50","        325.10","        329.60","        329.30","        328.62","    5362816","      17623.50","      58992"
"TATASTEEL","EQ","09-May-2016","        329.30","        330.00","        334.95","        327.20","        329.10","        328.70","        330.52","    4658395","      15396.92","      52388"
"TATASTEEL","EQ","10-May-2016","        328.70","        330.90","        337.25","        325.15","        328.10","        328.05","        330.56","   10750089","      35535.92","     112474"
"TATASTEEL","EQ","11-May-2016","        328.05","        319.90","        332.00","        319.15","        329.80","        329.80","        328.60","    5687705","      18689.63","      61568"
"TATASTEEL","EQ","12-May-2016","        329.80","        331.25","        332.20","        326.60","        331.00","        330.60","        329.52","    4706634","      15509.14","      52217"
"TATASTEEL","EQ","13-May-2016","        330.60","        327.00","        329.35","        321.20","        321.60","        322.65","        324.27","    5602557","      18167.17","      62844"
"TATASTEEL","EQ","16-May-2016","        322.65","        323.05","        327.25","        319.40","        326.50","        326.40","        323.80","    3930807","      12728.11","      43813"
"TATASTEEL","EQ","17-May-2016","        326.40","        328.80","        331.15","        324.40","        326.20","        327.15","        327.61","    4879761","      15986.59","      49394"
"TATASTEEL","EQ","18-May-2016","        327.15","        325.70","        330.20","        323.15","        330.00","        329.05","        326.89","    3759529","      12289.57","      44575"
"TATASTEEL","EQ","19-May-2016","        329.05","        326.50","        337.40","        325.00","        325.40","        326.25","        332.03","    6510727","      21617.32","      65843"
"TATASTEEL","EQ","20-May-2016","        326.25","        326.20","        327.10","        321.10","        323.00","        322.65","        323.74","    4611092","      14927.88","      59092"
"TATASTEEL","EQ","23-May-2016","        322.65","        324.70","        325.75","        312.50","        314.10","        313.55","        317.54","    6397200","      20313.50","      77835"
"TATASTEEL","EQ","24-May-2016","        313.55","        313.45","        318.45","        311.25","        318.00","        317.70","        315.05","    5022884","      15824.41","      54848"
"TATASTEEL","EQ","25-May-2016","        317.70","        320.00","        326.50","        318.15","        324.35","        324.60","        322.38","    5523886","      17808.00","      49955"
"TATASTEEL","EQ","26-May-2016","        324.60","        320.00","        329.35","        320.00","        327.00","        325.20","        324.28","   12892426","      41806.99","     111266"
"TATASTEEL","EQ","27-May-2016","        325.20","        326.00","        332.00","        324.55","        331.05","        329.60","        327.95","    4404479","      14444.57","      45224"
"TATASTEEL","EQ","30-May-2016","        329.60","        332.05","        334.60","        321.45","        321.90","        322.35","        326.13","    6618099","      21583.35","      65867"
"TATASTEEL","EQ","31-May-2016","        322.35","        324.50","        337.50","        320.25","        334.05","        334.35","        330.79","   10042011","      33218.25","      97358"
"TATASTEEL","EQ","01-Jun-2016","        334.35","        335.90","        339.60","        329.40","        332.30","        332.15","        335.20","    6483031","      21731.20","      61786"
"TATASTEEL","EQ","02-Jun-2016","        332.15","        332.00","        341.90","        330.35","        341.90","        340.65","        337.01","    5572983","      18781.74","      61615"
"TATASTEEL","EQ","03-Jun-2016","        340.65","        344.00","        348.30","        336.40","        337.85","        338.55","        342.08","    8832388","      30214.19","      81915"
"TATASTEEL","EQ","06-Jun-2016","        338.55","        335.00","        340.70","        332.15","        338.60","        337.85","        336.99","    4969784","      16747.66","      59409"
"TATASTEEL","EQ","07-Jun-2016","        337.85","        339.55","        343.85","        337.05","        343.55","        342.60","        341.09","    3898620","      13297.86","      42571"
"TATASTEEL","EQ","08-Jun-2016","        342.60","        343.25","        346.45","        338.50","        341.50","        341.50","        342.17","    4466650","      15283.62","      43354"
"TATASTEEL","EQ","09-Jun-2016","        341.50","        340.00","        346.70","        340.00","        344.00","        342.05","        343.59","    5935910","      20395.11","      60789"
"TATASTEEL","EQ","10-Jun-2016","        342.05","        342.00","        344.50","        333.50","        333.70","        334.40","        338.99","    5506426","      18666.17","      48464"
"TATASTEEL","EQ","13-Jun-2016","        334.40","        328.30","        329.95","        321.00","        322.65","        323.10","        323.93","    6576686","      21304.17","      83347"
"TATASTEEL","EQ","14-Jun-2016","        323.10","        325.00","        327.45","        321.30","        325.20","        324.95","        324.51","    4008566","      13008.00","      55258"
"TATASTEEL","EQ","15-Jun-2016","        324.95","        326.10","        331.50","        323.80","        331.05","        330.25","        327.62","    4134184","      13544.31","      40374"
"TATASTEEL","EQ","16-Jun-2016","        330.25","        329.50","        333.50","        324.10","        329.50","        330.50","        329.18","    6490905","      21366.71","      66010"
"TATASTEEL","EQ","17-Jun-2016","        330.50","        333.00","        333.50","        323.80","        325.20","        325.45","        326.56","    5702881","      18623.61","      85598"
"TATASTEEL","EQ","20-Jun-2016","        325.45","        324.40","        336.95","        322.80","        336.75","        336.25","        331.74","    6200742","      20570.23","      86925"
"TATASTEEL","EQ","21-Jun-2016","        336.25","        336.00","        337.70","        332.75","        333.10","        334.05","        334.82","    3490952","      11688.52","      33537"
"TATASTEEL","EQ","22-Jun-2016","        334.05","        334.00","        334.00","        327.05","        331.30","        332.45","        330.82","    4627091","      15307.54","      74903"
"TATASTEEL","EQ","23-Jun-2016","        332.45","        331.50","        335.95","        327.60","        333.00","        333.95","        331.39","    4684494","      15523.74","      51460"
"TATASTEEL","EQ","24-Jun-2016","        333.95","        307.10","        316.40","        296.30","        311.95","        312.65","        308.04","   14410710","      44390.67","     129203"
"TATASTEEL","EQ","27-Jun-2016","        312.65","        309.75","        312.55","        307.50","        309.90","        310.50","        310.35","    6579079","      20418.38","      70794"
"TATASTEEL","EQ","28-Jun-2016","        310.50","        311.45","        314.40","        307.00","        311.15","        311.50","        311.14","    7926086","      24661.23","      64834"
"TATASTEEL","EQ","29-Jun-2016","        311.50","        314.00","        317.00","        312.60","        312.90","        313.60","        314.94","    5616012","      17687.04","      54117"
"TATASTEEL","EQ","30-Jun-2016","        313.60","        315.70","        324.25","        315.20","        323.00","        321.95","        319.39","    6392234","      20415.90","      69968"
"TATASTEEL","EQ","01-Jul-2016","        321.95","        326.50","        330.90","        326.40","        327.40","        328.10","        328.91","    4994251","      16426.37","      50572"
"TATASTEEL","EQ","04-Jul-2016","        328.10","        328.70","        333.90","        327.95","        330.60","        331.25","        331.49","    3232796","      10716.45","      33621"
"TATASTEEL","EQ","05-Jul-2016","        331.25","        332.50","        337.40","        330.25","        332.60","        333.65","        333.94","    3943390","      13168.36","      37295"
"TATASTEEL","EQ","07-Jul-2016","        333.65","        334.20","        337.25","        316.30","        316.90","        317.70","        323.09","   10126780","      32718.58","      99563"
"TATASTEEL","EQ","08-Jul-2016","        317.70","        314.95","        319.40","        312.10","        317.70","        318.35","        316.68","    7764479","      24588.50","      76133"
"TATASTEEL","EQ","11-Jul-2016","        318.35","        325.00","        329.70","        319.65","        326.70","        327.00","        325.29","    7692459","      25022.56","      83723"
"TATASTEEL","EQ","12-Jul-2016","        327.00","        329.95","        343.85","        329.00","        343.45","        342.30","        336.30","    9886586","      33248.85","      91232"
"TATASTEEL","EQ","13-Jul-2016","        342.30","        344.70","        358.65","        344.30","        356.05","        357.75","        353.07","   13345822","      47119.88","     123543"
"TATASTEEL","EQ","14-Jul-2016","        357.75","        358.80","        361.35","        353.35","        359.50","        359.30","        358.23","    7970875","      28554.08","      86737"
"TATASTEEL","EQ","15-Jul-2016","        359.30","        359.30","        374.40","        356.75","        372.00","        372.90","        369.32","   13431169","      49604.59","     126440"
"TATASTEEL","EQ","18-Jul-2016","        372.90","        373.45","        379.40","        363.50","        364.55","        365.65","        373.32","    7697416","      28735.85","      83445"
"TATASTEEL","EQ","19-Jul-2016","        365.65","        367.95","        371.65","        362.35","        369.90","        370.25","        367.91","    8246048","      30337.67","      81937"
"TATASTEEL","EQ","20-Jul-2016","        370.25","        372.20","        373.00","        366.40","        368.70","        368.45","        369.25","    5907217","      21812.48","      74395"
"TATASTEEL","EQ","21-Jul-2016","        368.45","        370.00","        370.00","        361.10","        361.70","        362.30","        365.06","    5343359","      19506.39","      54893"
"TATASTEEL","EQ","22-Jul-2016","        362.30","        362.30","        368.90","        356.45","        365.00","        365.45","        363.18","    7372910","      26776.71","      61579"
"TATASTEEL","EQ","25-Jul-2016","        365.45","        365.00","        367.80","        362.15","        362.75","        363.65","        364.22","    5676435","      20674.52","      45031"
"TATASTEEL","EQ","26-Jul-2016","        363.65","        363.90","        375.00","        363.05","        367.40","        367.80","        371.22","    7798763","      28950.68","      74113"
